"filename", "language", "Python", "C++", "CMake", "Markdown", "JSON", "Docker", "YAML", "Properties", "Shell Script", "XML", "HTML", "Makefile", "comment", "blank", "total"
"/root/projects/cpp/mine/media_stream_analyzing/REAEME.md", "Markdown", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/CMakeLists.txt", "CMake", 0, 0, 324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 370
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/Dockerfile", "Docker", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/README-sse.md", "Markdown", 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 183
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/README-stream.md", "Markdown", 0, 0, 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 318
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/README.md", "Markdown", 0, 0, 0, 1051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 308, 1359
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/benchmark/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 3, 15, 48
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/benchmark/cpp-httplib/main.cpp", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/benchmark/crow/crow_all.h", "C++", 0, 11289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1219, 1809, 14317
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/benchmark/crow/main.cpp", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/cmake/FindBrotli.cmake", "CMake", 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 174
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/docker/html/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 3, 22
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/docker/main.cc", "C++", 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 38, 304
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/example/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 1, 22, 68
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/example/accept_header.cc", "C++", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 19, 135
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/example/benchmark.cc", "C++", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 34
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/example/client.cc", "C++", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 42
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/example/client.vcxproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 160
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/example/hello.cc", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 20
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/example/one_time_request.cc", "C++", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 57
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/example/redirect.cc", "C++", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 61
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/example/server.cc", "C++", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 28, 114
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/example/server.vcxproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 0, 160
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/example/server_and_client.cc", "C++", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 24, 91
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/example/simplecli.cc", "C++", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 30
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/example/simplesvr.cc", "C++", 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 40, 149
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/example/ssecli-stream.cc", "C++", 0, 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 37, 235
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/example/ssecli.cc", "C++", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 15, 58
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/example/ssesvr.cc", "C++", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 107
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/example/upload.cc", "C++", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 62
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/example/uploader.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 1, 7
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/httplib.h", "C++", 0, 11100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 648, 2157, 13905
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/split.py", "Python", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 74
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/CMakeLists.txt", "CMake", 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 122
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 13, 25, 133
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/fuzzing/CMakeLists.txt", "CMake", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/fuzzing/Makefile", "Makefile", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 7, 9, 28
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/fuzzing/server_fuzzer.cc", "C++", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 101
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/fuzzing/standalone_fuzz_target_runner.cpp", "C++", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 36
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/gen-certs.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 2, 19
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/gtest/include/gtest/gtest-assertion-result.h", "C++", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 27, 238
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/gtest/include/gtest/gtest-death-test.h", "C++", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 244, 33, 346
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/gtest/include/gtest/gtest-matchers.h", "C++", 0, 584, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 244, 129, 957
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/gtest/include/gtest/gtest-message.h", "C++", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 28, 219
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/gtest/include/gtest/gtest-param-test.h", "C++", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 322, 41, 511
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/gtest/include/gtest/gtest-printers.h", "C++", 0, 641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 293, 115, 1049
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/gtest/include/gtest/gtest-spi.h", "C++", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 26, 249
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/gtest/include/gtest/gtest-test-part.h", "C++", 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 39, 191
"/root/projects/cpp/mine/media_stream_analyzing/cpp/3rdparty/cpp-httplib/test/gtest/include/gtest/gtest-typed-test.h", "C++", 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 44, 332
